SeniorCitizen,tenure,MonthlyCharges,gender_Male,Partner_Yes,Dependents_Yes,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,predicted_prob,Churn,delta_pred,Tenure,MonthlyCharges_or,Risk level,TotalCharges,AvgTotChargesLeft,targeting
0.0,-1.2802480369298874,-1.1616939352451685,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.86342704,No,1.0,1.0,29.85,High risk,29.85,1971.8966779244702,True
0.0,0.06430268518835193,-0.2608779199297493,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05194803,No,0.0,34.0,56.95,Low-medium-risk,1889.5,-352.1244067722268,False
0.0,-1.2395040756535771,-0.3639232943754246,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7071048,Yes,-1.0,2.0,53.85,High risk,108.15,1901.4717965700247,True
0.0,0.512486259227765,-0.747850415293989,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.044998962,No,0.0,45.0,42.3,Low-medium-risk,1840.75,-1126.7981016711258,False
0.0,-1.2395040756535771,0.19617817640187488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9394401,Yes,0.0,2.0,70.7,Very high risk,151.65,1901.4717965700247,True
0.0,-0.9950403079957154,1.1584890119510036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9789219,Yes,0.0,8.0,99.65,Very high risk,820.5,1478.9225084433526,True
0.0,-0.42462485012737144,0.8078023344020117,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5658495,No,0.0,22.0,89.1,Low-medium-risk,1949.4,492.97416948111754,False
0.0,-0.9135523854430948,-1.1650179795821258,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47879976,No,0.0,10.0,29.75,Low-medium-risk,301.9,1338.072745734462,True
0.0,-0.18016108246950976,1.3296772953043026,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9293036,Yes,0.0,28.0,104.8,Very high risk,3046.05,70.42488135444536,False
0.0,1.2051336009250397,-0.28747027462540753,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.114456505,No,0.0,62.0,56.15,Low-medium-risk,3487.95,-2324.021084696697,False
